Version,Model,Transmission,Fuel,City,Road,Average
4/5PTAS 2.0L 4CIL 160HP MAN,2018,MAN,Gasolina,14.1,22.1,16.84
5PTAS 1.6L 4CIL 122HP TURBO AUT,2018,AUT,Gasolina,14.08,20.41,17.75
CGI 5PTAS 1.6L 4CIL 122HP AUT TURBO,2016,AUT,Gasolina,14.08,20.41,17.75
CGI 5PTS 1.6L 4CIL 121HP AUT TURBO,2013,AUT,Gasolina,14.08,22.22,18.23
CGI 5PTS 1.6L 4CIL 154HP AUT TURBO,2013,AUT,Gasolina,14.08,22.22,18.23
4PTAS 2.0L 4CIL 150HP MAN,2018,MAN,Gasolina,14.08,20.63,17.81
4/5PTS 2.0L 4CIL 160HP MAN,2015,MAN,Gasolina,14.07,21.93,16.77
LX 4PTS 1.5L 4CIL 118HP AUT,2011,AUT,Gasolina,14,19.6,16.07
EX 4PTS 1.5L 4CIL 118HP AUT,2011,AUT,Gasolina,14,19.6,16.07
LX 4PTS 1.5L 4CIL 118HP AUT,2012,AUT,Gasolina,14,19.6,16.07
EX 4PTS 1.5L 4CIL 118HP AUT,2012,AUT,Gasolina,14,19.6,16.07
LX 4PTS 1.5L 4CIL 118HP AUT,2013,AUT,Gasolina,14,19.6,16.07
EX 4PTS 1.5L 4CIL 118HP AUT,2013,AUT,Gasolina,14,19.6,16.07
LX 4PTS 1.5L 4CIL 118HP CVT,2014,CVT,Gasolina,14,21.4,17.96
EX 4PTS 1.5L 4CIL 118HP CVT,2014,CVT,Gasolina,14,21.4,17.96
LX 4PTS 1.5L 4CIL 118HP CVT,2016,CVT,Gasolina,14,21.4,17.96
EX 4PTS 1.5L 4CIL 118HP CVT,2016,CVT,Gasolina,14,21.4,17.96
DX 4PTS 1.5L 4CIL 118HP CVT,2016,CVT,Gasolina,14,21.4,17.96
DX 4PTAS 1.5L 4CIL 118HP AUT CVT,2017,AUT,Gasolina,14,21.4,17.96
EX 4PTAS 1.5L 4CIL 118HP AUT CVT,2017,AUT,Gasolina,14,21.4,17.96
LX 4PTAS 1.5L 4CIL 118HP AUT CVT,2017,AUT,Gasolina,14,21.4,17.96
DX 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,Gasolina,14,21.4,17.96
EX 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,Gasolina,14,21.4,17.96
EXL 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,Gasolina,14,21.4,17.96
LX 4PTAS 1.5L 4CIL 118HP AUT CVT,2018,AUT,Gasolina,14,21.4,17.96
i GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R19,2016,AUT,Gasolina,14,20.4,17.68
i GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R19,2017,AUT,Gasolina,14,20.4,17.68
i GRAND TOURING PLUS 4PTAS 2.5L 4CIL 188HP AUT R20,2017,AUT,Gasolina,14,20.4,17.68
4PTS 1.8L 4CIL 129HP MAN,2017,MAN,Gasolina,13.9,22.1,16.69
HATCHBACK 5PTS 2.5L 4CIL 188HP MAN,2016,MAN,Gasolina,13.9,21.2,17.83
s 5PTAS 2.5L 4CIL 188HP MAN R18,2017,MAN,Gasolina,13.9,21.2,16.45
SPORTWAGEN TDI 5PTS 2.0L 4CIL 140HP MAN TURBO DIESEL,2012,MAN,Diesel,13.88,21.28,17.83
MKVI TDI 4PTS 2.0L 4CIL 140HP MAN TURBO DIESEL,2012,MAN,Diesel,13.88,21.28,17.83
SPORTWAGEN TDI 5PTS 2.0L 4CIL 140HP MAN TURBO DIESEL,2013,MAN,Diesel,13.88,21.28,17.83
MKVI TDI 4PTS 2.0L 4CIL 140HP MAN TURBO DIESEL,2013,MAN,Diesel,13.88,21.28,17.83
MKVI TDI 4PTS 2.0L 4CIL 140HP MAN TURBO DIESEL,2014,MAN,Diesel,13.88,21.28,17.83
SEDAN 4PTS 2.0L 4CIL 148HP MAN,2011,M5,Gasolina,13.7,20.2,16.02
SEDAN 4PUERTAS 1.6L 4CIL 105HP MAN,2015,MAN,Gasolina,13.7,22.8,16.7
5PTS 1.6L 4CIL 110HP MAN,2011,MAN,Gasolina,13.63,20.47,16.04
5PTS 1.6L 4CIL 103HP MAN,2012,MAN,Gasolina,13.63,20.47,16.04
4PTS 1.4L 4CIL 160HP MAN TURBO,2013,MAN,Gasolina,13.63,19.43,15.75
5PTS 1.6L 4CIL 103HP MAN,2013,MAN,Gasolina,13.63,20.47,16.04
5PTS 1.6L 4CIL 103HP MAN,2014,MAN,Gasolina,13.63,20.47,16.04
